name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,101550000,300.802874595,365.46,1.19640423016e-05,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/kelmorab-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,POWHEG,NONE,2018
,,,,,,,,,,,
QCD_HT50to100_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT50to100_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,38754230,0.999950863557,185400000.0,4784.22898208,/QCD_HT50to100_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT100to200_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT100to200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,93972378,0.999711078623,27990000.0,297.939563118,/QCD_HT100to200_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT200to300_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT200to300_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,54289442,0.999,1712000.0,31.566,/QCD_HT200to300_TuneCP5_13TeV-madgraphMLM-pythia8/mwassmer-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT300to500_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT300to500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,54661579,0.998792825195,347700.0,6.36864591828,/QCD_HT300to500_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT500to700_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT500to700_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,55152960,0.998044772383,32100.0,0.58315792593,/QCD_HT500to700_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,48158738,0.997258332896,6831.0,0.142233374471,/QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,15466225,0.995907701132,1207.0,0.0783617011465,/QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT1500to2000_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT1500to2000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,10955087,0.993368757219,119.9,0.011017748523,/QCD_HT1500to2000_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018
,,,,,,,,,,,
QCD_HT2000toInf_TuneCP5_13TeV-madgraphMLM-pythia8,/QCD_HT2000toInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,5475677,0.988209070182,25.24,0.00466447417438,/QCD_HT2000toInf_TuneCP5_13TeV-madgraphMLM-pythia8/swieland-KIT_Monotop_skims_2018_102X_v5-8a90dde647cb33811b6481edb2b97780/USER,102X_upgrade2018_realistic_v21,False,MadGraph,NONE,2018

