name,dataset,isData,run,weight
jetht_2018A,/JetHT/Run2018A-UL2018_MiniAODv2-v1/MINIAOD,True,2018A,1
jetht_2018B,/JetHT/Run2018B-UL2018_MiniAODv2-v1/MINIAOD,True,2018B,1
jetht_2018C,/JetHT/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,True,2018C,1
jetht_2018D,/JetHT/Run2018D-UL2018_MiniAODv2-v2/MINIAOD,True,2018D,1
jetht_2017B,/JetHT/Run2017B-UL2017_MiniAODv2-v1/MINIAOD,True,2017B,1
jetht_2017C,/JetHT/Run2017C-UL2017_MiniAODv2-v1/MINIAOD,True,2017C,1
jetht_2017D,/JetHT/Run2017D-UL2017_MiniAODv2-v1/MINIAOD,True,2017D,1
jetht_2017E,/JetHT/Run2017E-UL2017_MiniAODv2-v1/MINIAOD,True,2017E,1
jetht_2017F,/JetHT/Run2017F-UL2017_MiniAODv2-v1/MINIAOD,True,2017F,1
jetht_2016preVFPB,/JetHT/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPB,1
jetht_2016preVFPC,/JetHT/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPC,1
jetht_2016preVFPD,/JetHT/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPD,1
jetht_2016preVFPE,/JetHT/Run2016E-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPE,1
jetht_2016preVFPF,/JetHT/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPF,1
jetht_2016postVFPF,/JetHT/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPF,1
jetht_2016postVFPG,/JetHT/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPG,1
jetht_2016postVFPH,/JetHT/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPH,1
