name,dataset,isData,run,weight
met_2016preVFPB,/MET/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPB,1
met_2016preVFPC,/MET/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPC,1
met_2016preVFPD,/MET/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPD,1
met_2016preVFPE,/MET/Run2016E-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPE,1
met_2016preVFPF,/MET/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPF,1
met_2016postVFPF,/MET/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPF,1
met_2016postVFPG,/MET/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPG,1
met_2016postVFPH,/MET/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPH,1
met_2017B,/MET/Run2017B-UL2017_MiniAODv2-v1/MINIAOD,True,2017B,1
met_2017C,/MET/Run2017C-UL2017_MiniAODv2-v1/MINIAOD,True,2017C,1
met_2017D,/MET/Run2017D-UL2017_MiniAODv2-v1/MINIAOD,True,2017D,1
met_2017E,/MET/Run2017E-UL2017_MiniAODv2-v1/MINIAOD,True,2017E,1
met_2017F,/MET/Run2017F-UL2017_MiniAODv2-v1/MINIAOD,True,2017F,1
met_2018A,/MET/Run2018A-UL2018_MiniAODv2-v2/MINIAOD,True,2018A,1
met_2018B,/MET/Run2018B-UL2018_MiniAODv2-v2/MINIAOD,True,2018B,1
met_2018C,/MET/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,True,2018C,1
met_2018D,/MET/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,True,2018D,1
