name,dataset,isData,run,weight
singleele_2018A,/EGamma/Run2018A-UL2018_MiniAODv2-v1/MINIAOD,True,2018A,1
singleele_2018B,/EGamma/Run2018B-UL2018_MiniAODv2-v1/MINIAOD,True,2018B,1
singleele_2018C,/EGamma/Run2018C-UL2018_MiniAODv2-v1/MINIAOD,True,2018C,1
singleele_2018D,/EGamma/Run2018D-UL2018_MiniAODv2-v2/MINIAOD,True,2018D,1
singleele_2017B,/SingleElectron/Run2017B-UL2017_MiniAODv2-v1/MINIAOD,True,2017B,1
singleele_2017C,/SingleElectron/Run2017C-UL2017_MiniAODv2-v1/MINIAOD,True,2017C,1
singleele_2017D,/SingleElectron/Run2017D-UL2017_MiniAODv2-v1/MINIAOD,True,2017D,1
singleele_2017E,/SingleElectron/Run2017E-UL2017_MiniAODv2-v1/MINIAOD,True,2017E,1
singleele_2017F,/SingleElectron/Run2017F-UL2017_MiniAODv2-v1/MINIAOD,True,2017F,1
singleele_2016preVFPB,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPB,1
singleele_2016preVFPC,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPC,1
singleele_2016preVFPD,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPD,1
singleele_2016preVFPE,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2-v5/MINIAOD,True,2016preVFPE,1
singleele_2016preVFPF,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPF,1
singleele_2016postVFPF,/SingleElectron/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPF,1
singleele_2016postVFPG,/SingleElectron/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPG,1
singleele_2016postVFPH,/SingleElectron/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPH,1
