name,dataset,isData,run,weight
singlemu_2018A,/SingleMuon/Run2018A-UL2018_MiniAODv2-v3/MINIAOD,True,2018A,1
singlemu_2018B,/SingleMuon/Run2018B-UL2018_MiniAODv2-v2/MINIAOD,True,2018B,1
singlemu_2018C,/SingleMuon/Run2018C-UL2018_MiniAODv2-v2/MINIAOD,True,2018C,1
singlemu_2018D,/SingleMuon/Run2018D-UL2018_MiniAODv2-v3/MINIAOD,True,2018D,1
singlemu_2017B,/SingleMuon/Run2017B-UL2017_MiniAODv2-v1/MINIAOD,True,2017B,1
singlemu_2017C,/SingleMuon/Run2017C-UL2017_MiniAODv2-v1/MINIAOD,True,2017C,1
singlemu_2017D,/SingleMuon/Run2017D-UL2017_MiniAODv2-v1/MINIAOD,True,2017D,1
singlemu_2017E,/SingleMuon/Run2017E-UL2017_MiniAODv2-v1/MINIAOD,True,2017E,1
singlemu_2017F,/SingleMuon/Run2017F-UL2017_MiniAODv2-v1/MINIAOD,True,2017F,1
singlemu_2017G,/SingleMuon/Run2017G-UL2017_MiniAODv2-v1/MINIAOD,True,2017G,1
singlemu_2017H,/SingleMuon/Run2017H-UL2017_MiniAODv2-v1/MINIAOD,True,2017H,1
singlemu_2016preVFPB,/SingleMuon/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPB,1
singlemu_2016preVFPC,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPC,1
singlemu_2016preVFPD,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPD,1
singlemu_2016preVFPE,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPE,1
singlemu_2016preVFPF,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,True,2016preVFPF,1
singlemu_2016postVFPF,/SingleMuon/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPF,1
singlemu_2016postVFPG,/SingleMuon/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPG,1
singlemu_2016postVFPH,/SingleMuon/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,True,2016postVFPH,1
